Experiment,Treatment,DOL,Lifestage,Tray,Weight_mg
R1,Large,12DOL,larva,4,280.6
R3,Large,12DOL,larva,13,276
R1,Large,12DOL,larva,6,273.5
R1,Large,12DOL,larva,5,271.2
R1,Large,12DOL,larva,6,266.3
R3,Large,12DOL,larva,13,263.4
R3,Large,12DOL,larva,13,263.3
R1,Large,12DOL,larva,4,262.1
R1,Large,12DOL,larva,5,261.7
R3,Large,12DOL,larva,13,259.5
R3,Large,12DOL,larva,13,256.3
R1,Large,12DOL,larva,6,256.1
R1,Large,12DOL,larva,6,252.6
R1,Large,12DOL,larva,4,250.7
R3,Large,12DOL,larva,13,249.3
R3,Large,12DOL,larva,13,247.6
R1,Large,12DOL,larva,6,247.3
R2,Large,12DOL,larva,8,246.71
R3,Large,12DOL,larva,13,244.8
R1,Large,12DOL,larva,5,243.9
R3,Large,12DOL,larva,13,242.5
R1,Large,12DOL,larva,6,241.6
R1,Large,12DOL,larva,6,241.5
R3,Large,12DOL,larva,13,241.5
R1,Large,12DOL,larva,6,241.2
R3,Large,12DOL,larva,13,239.4
R1,Large,12DOL,larva,4,239
R3,Large,12DOL,larva,13,238
R3,Large,12DOL,larva,13,236.2
R1,Large,12DOL,larva,4,236
R2,Large,12DOL,larva,8,233.24
R1,Large,12DOL,larva,5,232.9
R3,Large,12DOL,larva,13,232.9
R3,Large,12DOL,larva,13,232.3
R1,Large,12DOL,larva,4,231.8
R1,Large,12DOL,larva,6,231.8
R1,Large,12DOL,larva,6,231.6
R3,Large,12DOL,larva,13,231.6
R3,Large,12DOL,larva,13,231.6
R1,Large,12DOL,larva,6,231.2
R3,Large,12DOL,larva,13,231
R1,Large,12DOL,larva,6,229.8
R2,Large,12DOL,larva,8,229.52
R3,Large,12DOL,larva,13,229
R3,Large,12DOL,larva,13,228.3
R3,Large,12DOL,larva,13,228.3
R1,Large,12DOL,larva,5,228.2
R3,Large,12DOL,larva,13,228.2
R3,Large,12DOL,larva,13,227.7
R3,Large,12DOL,larva,13,227.6
R2,Large,12DOL,larva,8,226.92
R2,Large,12DOL,larva,8,226.79
R1,Large,12DOL,larva,6,226.3
R2,Large,12DOL,larva,8,226.3
R1,Large,12DOL,larva,4,226.1
R2,Large,12DOL,larva,8,225.92
R3,Large,12DOL,larva,13,225.9
R3,Large,12DOL,larva,13,225.7
R3,Large,12DOL,larva,13,225.2
R1,Large,12DOL,larva,5,224.5
R3,Large,12DOL,larva,13,223.7
R2,Large,12DOL,larva,8,223.56
R1,Large,12DOL,larva,4,223.1
R2,Large,12DOL,larva,8,222.4
R3,Large,12DOL,larva,13,222.3
R3,Control,12DOL,larva,10,221.9
R1,Large,12DOL,larva,4,221.7
R1,Large,12DOL,larva,4,221.5
R1,Large,12DOL,larva,6,221.4
R3,Large,12DOL,larva,13,221.1
R1,Large,12DOL,larva,4,221
R3,Control,12DOL,larva,11,221
