Experiment,Individual,Treatment,DOL,RepDay,Date,Lifestage,Tray,Replicate,Weight_mg,DOL2
R2,8,Large,20,16,14/02/2022,larva,8,87,NA,20DOL
R2,9,Large,20,16,14/02/2022,larva,8,87,NA,20DOL
R2,10,Large,20,16,14/02/2022,larva,8,87,NA,20DOL
R2,11,Large,20,16,14/02/2022,larva,8,87,NA,20DOL
R2,12,Large,20,16,14/02/2022,larva,8,87,NA,20DOL
R2,13,Large,20,16,14/02/2022,larva,8,87,NA,20DOL
R2,14,Large,20,16,14/02/2022,larva,8,87,NA,20DOL
R2,15,Large,20,16,14/02/2022,larva,8,87,NA,20DOL
R2,16,Large,20,16,14/02/2022,larva,8,87,NA,20DOL
R2,17,Large,20,16,14/02/2022,larva,8,87,NA,20DOL
R2,18,Large,20,16,14/02/2022,larva,8,87,NA,20DOL
R2,19,Large,20,16,14/02/2022,larva,8,87,NA,20DOL
R2,20,Large,20,16,14/02/2022,larva,8,87,NA,20DOL
R2,21,Large,20,16,14/02/2022,larva,8,87,NA,20DOL
R2,22,Large,20,16,14/02/2022,larva,8,87,NA,20DOL
R2,23,Large,20,16,14/02/2022,larva,8,87,NA,20DOL
R2,24,Large,20,16,14/02/2022,larva,8,87,NA,20DOL
R2,25,Large,20,16,14/02/2022,larva,8,87,NA,20DOL
R3,59,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,60,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,61,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,62,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,63,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,64,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,65,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,66,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,67,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,68,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,69,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,70,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,71,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,72,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,73,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,74,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,75,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,76,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,77,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,78,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,79,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,80,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,81,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,82,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,83,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,84,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,85,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,86,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,87,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,88,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,89,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,90,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,91,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,92,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,93,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,94,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,95,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,96,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,97,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,98,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,99,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,100,Large,20,16,10/07/2022,larva,13,80,NA,20DOL
R3,6,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R3,7,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R3,8,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R3,9,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R3,10,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R3,11,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R3,12,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R3,13,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R3,14,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R3,15,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R3,16,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R3,17,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R3,18,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R3,19,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R3,20,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R3,21,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R3,22,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R3,23,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R3,24,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R3,25,Control,20,16,06/07/2022,larva,12,79,NA,20DOL
R2,25,Control,19,15,13/02/2022,larva,7,76,NA,19DOL
R2,20,Control,19,15,13/02/2022,larva,7,78,NA,19DOL
R2,21,Control,19,15,13/02/2022,larva,7,78,NA,19DOL
R2,22,Control,19,15,13/02/2022,larva,7,78,NA,19DOL
R2,23,Control,19,15,13/02/2022,larva,7,78,NA,19DOL
